collection,model,query,NDCG_10
cw09,3b,17,0.5814022949427945
cw09,3b,18,0.6758704024811182
cw09,3b,19,
cw09,3b,20,
cw09,3b,21,0.42136434996948957
cw09,3b,22,0.5639512376193366
cw09,3b,23,0.2654510097534233
cw09,3b,24,0.30308203017988256
cw09,3b,25,0.4334250513458962
cw09,3b,26,0.44774444345417824
cw09,3b,27,0.5296933816407643
cw09,3b,28,0.6642583373034093
cw09,3b,29,
cw09,3b,30,0.456662546909837
cw09,3b,31,0.4282143845526762
cw09,3b,32,0.4678212075331706
cw09,3b,33,0.6039738603868968
cw09,3b,34,0.3351719963264355
cw09,3b,35,0.6737950507154624
cw09,3b,36,0.858143722751484
cw09,3b,37,
cw09,3b,38,0.19743004218140223
cw09,3b,39,0.5214983339453266
cw09,3b,40,0.3031302336497077
cw09,3b,41,0.7011011533196674
cw09,3b,42,0.09790764776314623
cw09,3b,43,0.15060214830231988
cw09,3b,44,0.2745563570040234
cw09,3b,45,0.6663467913541974
cw09,3b,46,0.8863515943608354
cw09,3b,47,0.8517926582444502
cw09,3b,48,0.07518830991146422
cw09,3b,49,0.18779910486272938
cw09,3b,50,0.29864671012875865
cw09,3b,51,0.28189370333643293
cw09,3b,52,0.050587397026011796
cw09,3b,53,0.3418933869698046
cw09,3b,54,0.4562401029189415
cw09,3b,55,0.22119341301481266
cw09,3b,56,0.06625422345438903
cw09,3b,57,0.27644963824491087
cw09,3b,58,0.7903140071859168
cw09,3b,59,0.5050987904012103
cw09,3b,60,0.7264127302306636
cw09,3b,61,0.1771442750550231
cw09,3b,62,0.21349657681656153
cw09,3b,63,0.02808626940222314
cw09,3b,64,0.6711707627111821
cw09,3b,65,0.5629797250873091
cw09,3b,66,0.05274731545429701
cw09,3b,67,0.6309040371135377
cw09,3b,68,0.1644085726518393
cw09,3b,69,0.0928288991889057
cw09,3b,70,
cw09,3b,71,0.25411471129000446
cw09,3b,72,0.2934163982736371
cw09,3b,73,0.39422591685655856
cw09,3b,74,
cw09,3b,75,0.5225370614388255
cw09,3b,76,0.268123984342631
cw09,3b,77,
cw09,3b,78,0.23572190607326743
cw09,3b,79,0.06254806489603015
cw09,3b,80,0.8899541168509599
cw09,3b,81,0.4618188963315886
cw09,3b,82,0.3895659745337
cw09,3b,83,0.667820779255364
cw09,3b,84,0.3098064936645125
cw09,3b,85,
cw09,3b,86,0.07800877241980332
cw09,3b,87,0.18561615954230964
cw09,3b,88,0.07139757201806866
cw09,3b,89,0.7799082337019199
cw09,3b,90,0.4235772032172142
cw09,3b,91,0.48733088125635693
cw09,3b,92,0.12576688193822189
cw09,3b,93,0.10524376144717175
cw09,3b,94,
cw09,3b,96,0.11775763383786521
cw09,3b,97,0.8566540326054963
cw09,3b,98,0.42652272203560665
cw09,3b,99,0.7132886445564532
cw09,3b,101,0.5015884992411941
cw09,3b,102,0.7741869890465651
cw09,3b,103,1.0
cw09,3b,104,0.15457433957839825
cw09,3b,105,0.7294157221888304
cw09,3b,106,
cw09,3b,107,0.529170742409209
cw09,3b,108,0.931507644850844
cw09,3b,109,0.13886244387355454
cw09,3b,110,0.14185627724851593
cw09,3b,111,0.32446801118473745
cw09,3b,112,
cw09,3b,113,0.08431423425588572
cw09,3b,114,0.13776325119708607
cw09,3b,115,
cw09,3b,116,0.3420117807062684
cw09,3b,117,0.4591594181256138
cw09,3b,118,0.70369749079263
cw09,3b,119,0.44869276271454334
cw09,3b,120,0.0908173074684248
cw09,3b,121,0.8164274148224887
cw09,3b,122,0.5827665746016472
cw09,3b,123,0.7386730375707296
cw09,3b,124,0.3583282989798871
